Year,Global Avg Temperatures,Global 25-Year MA,Raleigh Avg Temperatures,Raleigh 25-Year MA,Dublin Avg Temperatures,Dublin 25-Year MA,Edinburgh Average Temps,Edinburg 25-Year MA,Tokyo Average Temps,Tokyo 25-Year MA,Rio Average Temps,Rio 25-Year MA,,,,,,,,,,,,,
1750,8.72,,15.02,,9.32,,8.41,,,,,,MA = Moving Average,,,,,,,,,,,,
1751,7.98,,15.79,,9.12,,8.16,,,,,,,,,,,,,,,,,,
1752,5.78,,8.67,,6.28,,4.78,,,,,,,,,,,,,,,,,,
1753,8.39,,14.41,,8.63,,7.51,,,,,,,,,,,,,,,,,,
1754,8.47,,14.60,,8.59,,7.42,,,,,,,,,,,,,,,,,,
1755,8.36,,12.02,,8.29,,7.14,,,,,,,,,,,,,,,,,,
1756,8.85,,14.62,,8.75,,7.64,,,,,,,,,,,,,,,,,,
1757,9.02,,14.00,,8.72,,7.65,,,,,,,,,,,,,,,,,,
1758,6.74,,12.96,,7.83,,6.87,,,,,,,,,,,,,,,,,,
1759,7.99,,13.94,,8.82,,7.85,,,,,,,,,,,,,,,,,,
1760,7.19,,12.60,,8.14,,7.13,,,,,,,,,,,,,,,,,,
1761,8.77,,15.01,,8.95,,7.93,,,,,,,,,,,,,,,,,,
1762,8.61,,14.39,,8.32,,7.13,,,,,,,,,,,,,,,,,,
1763,7.50,,12.38,,7.95,,6.92,,,,,,,,,,,,,,,,,,
1764,8.40,,14.38,,8.26,,7.13,,,,,,,,,,,,,,,,,,
1765,8.25,,13.99,,8.08,,6.87,,,,,,,,,,,,,,,,,,
1766,8.41,,14.89,,8.24,,7.14,,,,,,,,,,,,,,,,,,
1767,8.22,,13.60,,8.38,,7.14,,,,,,,,,,,,,,,,,,
1768,6.78,,13.31,,8.25,,7.20,,,,,,,,,,,,,,,,,,
1769,7.69,,14.08,,8.33,,7.24,,,,,,,,,,,,,,,,,,
1770,7.69,,13.94,,8.08,,6.96,,,,,,,,,,,,,,,,,,
1771,7.85,,15.01,,8.14,,6.86,,,,,,,,,,,,,,,,,,
1772,8.19,,14.60,,8.22,,6.95,,,,,,,,,,,,,,,,,,
1773,8.22,,14.83,,8.26,,7.25,,,,,,,,,,,,,,,,,,
1774,8.77,,14.38,,8.22,,6.86,,,,,,,,,,,,,,,,,,
1775,9.18,,15.19,,9.06,,7.95,,,,,,,,,,,,,,,,,,
1776,8.30,,14.09,,8.30,,7.15,,,,,,,,,,,,,,,,,,
1777,8.26,,13.85,,8.49,,7.34,,,,,,,,,,,,,,,,,,
1778,8.54,,11.68,,8.90,,7.82,,,,,,,,,,,,,,,,,,
1779,8.98,,6.97,,9.77,,8.90,,,,,,,,,,,,,,,,,,
1780,9.43,,,,9.02,,7.75,,,,,,,,,,,,,,,,,,
1781,8.10,,14.57,,9.51,,8.53,,,,,,,,,,,,,,,,,,
1782,7.90,,14.05,,7.46,,6.28,,,,,,,,,,,,,,,,,,
1783,7.68,,13.77,,8.65,,7.66,,,,,,,,,,,,,,,,,,
1784,7.86,,13.62,,7.67,,6.36,,,,,,,,,,,,,,,,,,
1785,7.36,,13.51,,8.11,,6.98,,,,,,,,,,,,,,,,,,
1786,8.26,,14.04,,7.89,,6.63,,,,,,,,,,,,,,,,,,
1787,8.03,,14.06,,8.84,,7.79,,,,,,,,,,,,,,,,,,
1788,8.45,,14.65,,8.84,,7.63,,,,,,,,,,,,,,,,,,
1789,8.33,,14.36,,8.74,,7.78,,,,,,,,,,,,,,,,,,
1790,7.98,,14.29,,8.99,,7.97,,,,,,,,,,,,,,,,,,
1791,8.23,,14.42,,8.84,,7.83,,,,,,,,,,,,,,,,,,
1792,8.09,,13.87,,8.82,,7.72,,,,,,,,,,,,,,,,,,
1793,8.23,,14.62,,8.76,,7.65,,,,,,,,,,,,,,,,,,
1794,8.53,,14.67,,9.13,,8.18,,,,,,,,,,,,,,,,,,
1795,8.35,,14.29,,8.41,,7.17,,,,,,,,,,,,,,,,,,
1796,8.27,,14.07,,8.68,,7.64,,,,,,,,,,,,,,,,,,
1797,8.51,,14.01,,8.66,,7.76,,,,,,,,,,,,,,,,,,
1798,8.67,,14.84,,9.14,,8.14,,,,,,,,,,,,,,,,,,
1799,8.51,,14.45,,7.56,,6.23,,,,,,,,,,,,,,,,,,
1800,8.48,,14.38,,8.47,,7.25,,,,,,,,,,,,,,,,,,
1801,8.59,,14.76,,8.88,,7.77,,,,,,,,,,,,,,,,,,
1802,8.58,,15.02,,8.65,,7.44,,,,,,,,,,,,,,,,,,
1803,8.50,,14.91,,8.47,,7.22,,,,,,,,,,,,,,,,,,
1804,8.84,,14.74,,8.80,,7.49,,,,,,,,,,,,,,,,,,
1805,8.56,,15.09,,8.52,,7.20,,,,,,,,,,,,,,,,,,
1806,8.43,,14.41,,8.73,,7.56,,,,,,,,,,,,,,,,,,
1807,8.28,,14.19,,7.97,,6.83,,,,,,,,,,,,,,,,,,
1808,7.63,,14.28,,8.17,,7.12,,,,,,,,,,,,,,,,,,
1809,7.08,,13.52,,8.02,,7.02,,,,,,,,,,,,,,,,,,
1810,6.92,,13.78,,7.90,,6.87,,,,,,,,,,,,,,,,,,
1811,6.86,,13.90,,8.64,,7.82,,,,,,,,,,,,,,,,,,
1812,7.05,,12.83,,7.72,,6.60,,,,,,,,,,,,,,,,,,
1813,7.74,,13.87,,8.33,,7.35,,,,,,,,,,,,,,,,,,
1814,7.59,,13.63,,7.45,,6.33,,,,,,,,,,,,,,,,,,
1815,7.24,,13.26,,8.09,,7.15,,,,,,,,,,,,,,,,,,
1816,6.94,,12.87,,7.20,,6.18,,,,,,,,,,,,,,,,,,
1817,6.98,,12.86,,8.01,,7.03,,,,,,,,,,,,,,,,,,
1818,7.83,,13.38,,8.88,,7.82,,,,,,,,,,,,,,,,,,
1819,7.37,,13.76,,8.41,,7.47,,,,,,,,,,,,,,,,,,
1820,7.62,,13.82,,8.12,,7.06,,,,,,,,,,,,,,,,,,
1821,8.09,,13.38,,8.97,,7.94,,,,,,,,,,,,,,,,,,
1822,8.19,,14.68,,9.14,,8.23,,,,,,,,,,,,,,,,,,
1823,7.72,,13.93,,7.96,,6.80,,,,,,,,,,,,,,,,,,
1824,8.55,,14.57,,8.74,,7.69,,,,,,,,,,,,,,,,,,
1825,8.39,,15.05,,9.11,,8.13,,,,,,,,,,,,,,,,,,
1826,8.36,,14.82,,9.24,,8.39,,,,,,,,,,,,,,,,,,
1827,8.81,,15.03,,8.76,,7.58,,,,,,,,,,,,,,,,,,
1828,8.17,,16.39,,9.37,,8.26,,,,,,,,,,,,,,,,,,
1829,7.94,,14.29,,7.76,,6.52,,,,,,,,,,,,,,,,,,
1830,8.52,,15.84,,8.24,,7.06,,,,,,,,,,,,,,,,,,
1831,7.64,,13.79,,9.03,,8.10,,,,,,,,,,,,,,,,,,
1832,7.45,,14.57,,8.58,,7.79,,,,,,,,,,,,,,,,,,
1833,8.01,,14.63,,8.50,,7.52,,,,,,,,,,,,,,,,,,
1834,8.15,,15.13,,9.41,,8.56,,,,,,,,,,,,,,,,,,
1835,7.39,,14.44,,8.64,,7.52,,,,,,,,,,,,,,,,,,
1836,7.70,,13.53,,7.94,,6.87,,,,,,,,,,,,,,,,,,
1837,7.38,,14.40,,8.21,,6.92,,,,,,,,,,,,,,,,,,
1838,7.51,,14.25,,7.52,,6.18,,,,,,,,,,,,,,,,,,
1839,7.63,,14.58,,8.03,,6.99,,,,,,,,,,,,,,,,,,
1840,7.80,,14.77,,8.12,,7.11,,,,,,,,,,,,,,,,,,
1841,7.69,,14.26,,8.19,,7.17,,,,,,,,,,,,,,,,,,
1842,8.02,,14.66,,8.76,,7.88,,,,,,,,,,,,,,,,,,
1843,8.17,,13.67,,8.58,,7.56,,,,,,,,,,,,,,,,,,
1844,7.65,,14.67,,8.34,,7.13,,,,,,,,,,,,,,,,,,
1845,7.85,,14.70,,8.03,,6.94,,11.95,,,,,,,,,,,,,,,,
1846,8.55,,14.77,,9.47,,8.73,,12.40,,,,,,,,,,,,,,,,
1847,8.09,,14.05,,8.71,,7.57,,12.21,,,,,,,,,,,,,,,,
1848,7.98,,14.42,,8.42,,7.50,,12.14,,,,,,,,,,,,,,,,
1849,7.98,,14.03,,8.53,,7.39,,12.14,,,,,,,,,,,,,,,,
1850,7.90,,14.36,,8.60,,7.38,,11.71,,,,,,,,,,,,,,,,
1851,8.18,,14.45,,8.62,,7.44,,11.76,,23.53,,,,,,,,,,,,,,
1852,8.10,,14.35,,9.07,,8.16,,11.73,,23.74,,,,,,,,,,,,,,
1853,8.04,,14.67,,8.07,,7.01,,11.86,,23.76,,,,,,,,,,,,,,
1854,8.21,,15.06,,8.84,,7.78,,12.24,,23.83,,,,,,,,,,,,,,
1855,8.11,,14.51,,7.67,,6.57,,12.56,,23.89,,,,,,,,,,,,,,
1856,8.00,,13.33,,8.42,,7.26,,12.06,,22.83,,,,,,,,,,,,,,
1857,7.76,,13.40,,9.34,,8.52,,11.94,,23.46,,,,,,,,,,,,,,
1858,8.10,,14.43,,8.65,,7.53,,12.23,,22.37,,,,,,,,,,,,,,
