Year,Global Avg Temperatures,Global 25-Year MA,50-Year MA,Raleigh Avg Temperatures,Raleigh 25-Year MA,50-Year MA
1750,8.72,,,15.02,,
1751,7.98,,,15.79,,
1752,5.78,,,8.67,,
1753,8.39,,,14.41,,
1754,8.47,,,14.6,,
1755,8.36,,,12.02,,
1756,8.85,,,14.62,,
1757,9.02,,,14,,
1758,6.74,,,12.96,,
1759,7.99,,,13.94,,
1760,7.19,,,12.6,,
1761,8.77,,,15.01,,
1762,8.61,,,14.39,,
1763,7.5,,,12.38,,
1764,8.4,,,14.38,,
1765,8.25,,,13.99,,
1766,8.41,,,14.89,,
1767,8.22,,,13.6,,
1768,6.78,,,13.31,,
1769,7.69,,,14.08,,
1770,7.69,,,13.94,,
1771,7.85,,,15.01,,
1772,8.19,,,14.6,,
1773,8.22,,,14.83,,
1774,8.77,8.03,,14.38,13.90,
1775,9.18,8.05,,15.19,13.90,
1776,8.3,8.06,,14.09,13.84,
1777,8.26,8.16,,13.85,14.04,
1778,8.54,8.17,,11.68,13.93,
1779,8.98,8.19,,6.97,13.63,
1780,9.43,8.23,,,13.70,
1781,8.1,8.20,,14.57,13.69,
1782,7.9,8.16,,14.05,13.70,
1783,7.68,8.20,,13.77,13.73,
1784,7.86,8.19,,13.62,13.72,
1785,7.36,8.20,,13.51,13.75,
1786,8.26,8.18,,14.04,13.71,
1787,8.03,8.15,,14.06,13.70,
1788,8.45,8.19,,14.65,13.79,
1789,8.33,8.19,,14.36,13.79,
1790,7.98,8.18,,14.29,13.81,
1791,8.23,8.17,,14.42,13.79,
1792,8.09,8.17,,13.87,13.80,
1793,8.23,8.22,,14.62,13.85,
1794,8.53,8.26,,14.67,13.88,
1795,8.35,8.28,,14.29,13.89,
1796,8.27,8.30,,14.07,13.85,
1797,8.51,8.31,,14.01,13.83,
1798,8.67,8.33,,14.84,13.83,
1799,8.51,8.32,8.18,14.45,13.83,13.86
1800,8.48,8.29,8.17,14.38,13.80,13.85
1801,8.59,8.30,8.18,14.76,13.83,13.83
1802,8.58,8.32,8.24,15.02,13.87,13.96
1803,8.5,8.32,8.24,14.91,14.01,13.97
1804,8.84,8.31,8.25,14.74,14.33,13.97
1805,8.56,8.28,8.25,15.09,14.36,14.04
1806,8.43,8.29,8.25,14.41,14.36,14.03
1807,8.28,8.30,8.23,14.19,14.36,14.04
1808,7.63,8.30,8.25,14.28,14.38,14.06
1809,7.08,8.27,8.23,13.52,14.38,14.05
1810,6.92,8.25,8.23,13.78,14.39,14.08
1811,6.86,8.20,8.19,13.9,14.38,14.06
1812,7.05,8.16,8.16,12.83,14.33,14.02
1813,7.74,8.13,8.16,13.87,14.30,14.05
1814,7.59,8.10,8.14,13.63,14.27,14.04
1815,7.24,8.07,8.12,13.26,14.23,14.02
1816,6.94,8.02,8.10,12.87,14.17,13.98
1817,6.98,7.97,8.07,12.86,14.13,13.97
1818,7.83,7.96,8.09,13.38,14.08,13.97
1819,7.37,7.91,8.08,13.76,14.04,13.96
1820,7.62,7.88,8.08,13.82,14.03,13.96
1821,8.09,7.88,8.09,13.38,14.00,13.93
1822,8.19,7.86,8.09,14.68,14.02,13.93
1823,7.72,7.82,8.08,13.93,13.99,13.91
1824,8.55,7.83,8.07,14.57,13.99,13.91
1825,8.39,7.82,8.06,15.05,14.02,13.91
1826,8.36,7.81,8.06,14.82,14.02,13.93
1827,8.81,7.82,8.07,15.03,14.02,13.95
1828,8.17,7.81,8.06,16.39,14.08,14.05
1829,7.94,7.77,8.04,14.29,14.06,14.20
1830,8.52,7.77,8.02,15.84,14.09,14.23
1831,7.64,7.74,8.01,13.79,14.07,14.21
1832,7.45,7.71,8.01,14.57,14.08,14.22
1833,8.01,7.72,8.01,14.63,14.10,14.24
1834,8.15,7.77,8.02,15.13,14.16,14.27
1835,7.39,7.78,8.02,14.44,14.19,14.29
1836,7.7,7.82,8.01,13.53,14.17,14.28
1837,7.38,7.83,7.99,14.4,14.24,14.29
1838,7.51,7.82,7.98,14.25,14.25,14.28
1839,7.63,7.82,7.96,14.58,14.29,14.28
1840,7.8,7.85,7.96,14.77,14.35,14.29
1841,7.69,7.88,7.95,14.26,14.41,14.29
1842,8.02,7.92,7.95,14.66,14.48,14.30
1843,8.17,7.93,7.94,13.67,14.49,14.29
1844,7.65,7.94,7.93,14.67,14.53,14.29
1845,7.85,7.95,7.92,14.7,14.56,14.29
1846,8.55,7.97,7.92,14.77,14.62,14.31
1847,8.09,7.97,7.91,14.05,14.59,14.31
1848,7.98,7.98,7.90,14.42,14.61,14.30
1849,7.98,7.95,7.89,14.03,14.59,14.29
1850,7.9,7.93,7.88,14.36,14.56,14.29
1851,8.18,7.93,7.87,14.45,14.55,14.28
1852,8.1,7.90,7.86,14.35,14.52,14.27
1853,8.04,7.89,7.85,14.67,14.45,14.27
1854,8.21,7.90,7.84,15.06,14.48,14.27
1855,8.11,7.89,7.83,14.51,14.43,14.26
1856,8,7.90,7.82,13.33,14.41,14.24
1857,7.76,7.91,7.81,13.4,14.36,14.22
1858,8.1,7.92,7.82,14.43,14.36,14.23
1859,8.25,7.92,7.84,14.48,14.33,14.25
1860,7.96,7.94,7.86,14.49,14.33,14.26
1861,7.85,7.95,7.88,14.38,14.37,14.27
1862,7.56,7.96,7.89,14.32,14.36,14.30
1863,8.11,7.98,7.90,14.05,14.35,14.30
1864,7.98,8.00,7.91,14.1,14.34,14.31
1865,8.18,8.01,7.93,14.57,14.33,14.34
1866,8.29,8.03,7.96,14.21,14.33,14.37
1867,8.44,8.05,7.98,13.84,14.29,14.39
1868,8.25,8.05,7.99,13.4,14.28,14.39
1869,8.43,8.09,8.01,14.15,14.26,14.39
1870,8.2,8.10,8.03,14.39,14.25,14.40
1871,8.12,8.08,8.03,14.73,14.25,14.43
1872,8.19,8.09,8.03,13.35,14.22,14.41
1873,8.35,8.10,8.04,13.78,14.19,14.40
1874,8.43,8.12,8.04,14.43,14.21,14.40
1875,7.86,8.12,8.03,13.38,14.17,14.37
1876,8.08,8.11,8.02,13.94,14.15,14.35
1877,8.54,8.13,8.01,14.43,14.15,14.34
1878,8.83,8.16,8.03,14.56,14.15,14.30
1879,8.17,8.16,8.03,14.51,14.13,14.30
1880,8.12,8.16,8.02,14.83,14.14,14.28
1881,8.27,8.17,8.04,15.02,14.21,14.31
1882,8.13,8.19,8.05,14.34,14.24,14.30
1883,7.98,8.18,8.05,14.33,14.24,14.30
1884,7.77,8.16,8.04,14.51,14.24,14.29
1885,7.92,8.16,8.05,13.3,14.19,14.26
1886,7.95,8.17,8.06,13.53,14.16,14.26
1887,7.91,8.18,8.07,14.11,14.15,14.26
1888,8.09,8.18,8.08,14.04,14.15,14.25
1889,8.32,8.19,8.09,14.34,14.16,14.25
1890,7.97,8.18,8.10,15.29,14.19,14.26
1891,8.02,8.17,8.10,14.19,14.19,14.26
1892,8.07,8.16,8.11,13.67,14.18,14.24
1893,8.06,8.15,8.10,13.85,14.20,14.24
1894,8.16,8.14,8.11,14.73,14.22,14.24
1895,8.15,8.14,8.12,13.51,14.19,14.22
1896,8.21,8.14,8.11,14.77,14.19,14.22
1897,8.29,8.15,8.12,14.54,14.24,14.23
1898,8.18,8.14,8.12,14.5,14.27,14.23
1899,8.4,8.14,8.13,14.08,14.25,14.23
1900,8.5,8.16,8.14,14.9,14.31,14.24
1901,8.54,8.18,8.15,13.48,14.29,14.22
1902,8.3,8.17,8.15,14.22,14.29,14.22
1903,8.22,8.15,8.16,14.01,14.26,14.21
1904,8.09,8.14,8.15,13.16,14.21,14.17
1905,8.23,8.15,8.16,13.89,14.17,14.16
1906,8.38,8.15,8.16,14.53,14.15,14.18
1907,7.95,8.15,8.17,14.05,14.14,14.19
1908,8.19,8.15,8.17,14.29,14.14,14.19
1909,8.18,8.17,8.17,14.38,14.13,14.19
1910,8.22,8.18,8.17,14.08,14.17,14.18
1911,8.18,8.19,8.18,15.04,14.23,14.19
1912,8.17,8.20,8.19,14.11,14.23,14.19
1913,8.3,8.21,8.20,14.95,14.26,14.21
1914,8.59,8.22,8.21,14.01,14.25,14.21
1915,8.59,8.25,8.22,14.28,14.21,14.20
1916,8.23,8.26,8.21,14.41,14.22,14.20
1917,8.02,8.25,8.21,13.16,14.20,14.19
1918,8.13,8.26,8.20,14.27,14.21,14.21
1919,8.38,8.26,8.20,14.9,14.22,14.22
1920,8.36,8.27,8.21,13.7,14.23,14.21
1921,8.57,8.29,8.21,15.69,14.27,14.23
1922,8.41,8.29,8.22,14.98,14.28,14.26
1923,8.42,8.30,8.22,14.68,14.29,14.28
1924,8.51,8.31,8.22,13.67,14.27,14.26
1925,8.53,8.31,8.24,14.94,14.28,14.29
1926,8.73,8.32,8.25,14.32,14.31,14.30
1927,8.52,8.32,8.25,14.9,14.34,14.31
1928,8.63,8.34,8.24,14.24,14.35,14.30
1929,8.24,8.35,8.25,14.43,14.40,14.30
1930,8.63,8.36,8.26,14.65,14.43,14.30
1931,8.72,8.38,8.26,15.33,14.46,14.31
1932,8.71,8.41,8.28,15.39,14.51,14.33
1933,8.34,8.41,8.28,15.72,14.57,14.35
1934,8.63,8.43,8.30,14.72,14.58,14.36
1935,8.52,8.44,8.31,14.51,14.60,14.38
1936,8.55,8.46,8.32,14.61,14.58,14.40
1937,8.7,8.48,8.34,14.49,14.60,14.41
1938,8.86,8.50,8.36,15.25,14.61,14.44
1939,8.76,8.51,8.36,15.37,14.66,14.46
1940,8.76,8.51,8.38,13.87,14.65,14.43
1941,8.77,8.54,8.40,15.09,14.68,14.45
1942,8.73,8.56,8.41,14.84,14.74,14.47
1943,8.76,8.59,8.42,14.85,14.77,14.49
1944,8.85,8.61,8.44,14.62,14.75,14.49
1945,8.58,8.62,8.45,15.05,14.81,14.52
1946,8.68,8.62,8.45,15.38,14.80,14.53
1947,8.8,8.64,8.46,14.26,14.77,14.53
1948,8.75,8.65,8.48,14.85,14.77,14.53
1949,8.59,8.65,8.48,15.59,14.85,14.56
1950,8.37,8.65,8.48,14.72,14.84,14.56
1951,8.63,8.64,8.48,14.81,14.86,14.59
1952,8.64,8.65,8.49,15.07,14.87,14.60
1953,8.87,8.66,8.50,15.63,14.92,14.63
1954,8.56,8.67,8.51,15.12,14.95,14.67
1955,8.63,8.67,8.52,14.79,14.96,14.69
1956,8.28,8.65,8.51,15.06,14.95,14.70
1957,8.73,8.65,8.53,15.17,14.94,14.72
1958,8.77,8.67,8.54,13.8,14.86,14.72
1959,8.73,8.67,8.55,15.09,14.88,14.73
1960,8.58,8.68,8.56,14.01,14.86,14.73
1961,8.8,8.69,8.57,14.46,14.85,14.72
1962,8.75,8.69,8.58,14.19,14.84,14.72
1963,8.86,8.69,8.60,13.92,14.78,14.70
1964,8.41,8.68,8.59,14.51,14.75,14.71
1965,8.53,8.67,8.59,14.71,14.78,14.72
1966,8.6,8.66,8.60,13.96,14.74,14.71
1967,8.7,8.66,8.61,14.06,14.71,14.72
